Question,Answer
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, কোন ক্ষেত্রে পুরস্কার বা সম্মাননা প্রদান করা যায়?","বাংলা ভাষা, সাহিত্য, সংস্কৃতি ও বাংলা ভাষার জ্ঞানচর্চার ক্ষেত্রে বিশেষ অবদানের জন্য।"
বাংলাদেশের নাগরিক নয় এমন ব্যক্তিকে পুরস্কার বা সম্মাননা প্রদানের ক্ষেত্রে কী প্রয়োজন?,সরকারের পূর্বানুমোদন গ্রহণ করা।
বাংলা একাডেমি পুরস্কার বা সম্মাননা প্রদানের ক্ষেত্রে কোন নিয়মাবলী অনুসরণ করে?,বিধি অনুযায়ী।
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, বিদেশী লেখক বা গবেষকদের আমন্ত্রণ জানানোর ক্ষমতা কার রয়েছে?","একাডেমি, নির্বাহী পরিষদের সিদ্ধান্ত অনুসারে এবং সরকারের পূর্বানুমোদনক্রমে।"
বিদেশী লেখক বা গবেষকদের আমন্ত্রণ জানানোর উদ্দেশ্য কী?,বাংলা একাডেমি আইনের উদ্দেশ্য পূরণ করা।
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, বিদেশী লেখক বা গবেষকদের আমন্ত্রণ জানানোর জন্য কোন প্রক্রিয়া অনুসরণ করতে হয়?",নির্বাহী পরিষদের সিদ্ধান্ত এবং সরকারের পূর্বানুমোদন প্রয়োজন।
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, সাধারণ পরিষদের গঠন কীভাবে হয়?","বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, সাধারণ পরিষদ নিম্নলিখিত ব্যক্তিদের সমন্বয়ে গঠিত হয়:
(ক) একাডেমির সভাপতি
(খ) মহাপরিচালক
(গ) ফেলো
(ঘ) সদস্য"
সাধারণ পরিষদের সদস্যদের মধ্যে কারা অন্তর্ভুক্ত?,"সাধারণ পরিষদের সদস্যদের মধ্যে অন্তর্ভুক্ত রয়েছে:
* একাডেমির সভাপতি
* মহাপরিচালক
* ফেলো
* সদস্য"
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, সাধারণ পরিষদের কী কী দায়িত্ব রয়েছে?","বাংলা একাডেমি আইন, ২০১৩ এই বিষয়ে কোনো তথ্য প্রদান করে না।"
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, একাডেমির সর্বোচ্চ কর্তৃত্ব কার উপর ন্যস্ত?",সাধারণ পরিষদের উপর।
সাধারণ পরিষদের প্রধান দায়িত্ব কী?,একাডেমির কার্যাবলি তদারকি ও পর্যালোচনা করা এবং নির্বাহী পরিষদকে প্রয়োজনীয় দিক-নির্দেশনা প্রদান করা।
"বাংলা একাডেমি আইন, ২০১৩-এ সাধারণ পরিষদের দায়িত্ব সম্পর্কে কী বলা হয়েছে?","এই আইনের অন্যান্য বিধানসাপেক্ষে, একাডেমির সর্বময় কর্তৃত্ব সাধারণ পরিষদের উপর ন্যস্ত থাকিবে। সাধারণ পরিষদ একাডেমির কার্যাবলি তদারকি ও পর্যালোচনা করিবে এবং নির্বাহী পরিষদকে প্রয়োজনীয় দিক-নির্দেশনা প্রদান করিবে।"
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, সাধারণ পরিষদ কী করতে পারে?","বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, সাধারণ পরিষদ উহার সভার কার্য পদ্ধতি নির্ধারণ করিতে পারিবে।"
সাধারণ পরিষদের সভা কোথায় অনুষ্ঠিত হয়?,সাধারণ পরিষদের সকল সভা একাডেমিতে অনুষ্ঠিত হইবে।
সাধারণ পরিষদের সভার কোরামের জন্য কতজন সদস্যের উপস্থিতি প্রয়োজন?,সাধারণ পরিষদের সভার কোরামের জন্য কমপক্ষে এক-পঞ্চমাংশ সদস্যের উপস্থিতির প্রয়োজন হইবে।
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, তলবি সভা আহ্বানের জন্য কতজন সদস্যের অনুরোধ প্রয়োজন?",সাধারণ পরিষদের কমপক্ষে এক-তৃতীয়াংশ সদস্য।
মহাপরিচালক তলবি সভা আহ্বান করতে ব্যর্থ হলে কী হবে?,আহ্বানকারী সদস্যগণ উক্ত সময়সীমা অতিক্রান্ত হওয়ার অব্যবহিত পরবর্তী ১৫ কার্যদিবসের মধ্যে তলবি সভা অনুষ্ঠানের আয়োজন করতে পারবেন।
তলবি সভার কোরামের জন্য কতজন সদস্যের উপস্থিতি প্রয়োজন?,সাধারণ পরিষদের অন্যূন অর্ধেক সদস্য।
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, নির্বাহী পরিষদের সভাপতি কে হবেন?",মহাপরিচালক
নির্বাহী পরিষদের নির্বাচিত সদস্যদের মেয়াদ কত বছর?,3 বছর
নির্বাহী পরিষদের মনোনীত সদস্যদের মেয়াদ কত বছর?,3 বছর
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, একাডেমি কোন প্রতিষ্ঠান থেকে ঋণ গ্রহণ করতে পারে?",বাণিজ্যিক ব্যাংক বা আর্থিক প্রতিষ্ঠান
ঋণ গ্রহণের ক্ষেত্রে একাডেমির কোন অনুমোদন প্রয়োজন?,সরকারের পূর্বানুমোদন
ঋণ গ্রহণ করলে একাডেমির কোন দায়িত্ব রয়েছে?,ঋণ পরিশোধ করার দায়িত্ব
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, নির্বাহী পরিষদ কাকে ক্ষমতা অর্পণ করতে পারে?",মহাপরিচালক অথবা সচিবকে
মহাপরিচালক কাকে ক্ষমতা অর্পণ করতে পারেন?,সচিব বা একাডেমির যে কোনো কর্মকর্তাকে
ক্ষমতা অর্পণের ক্ষেত্রে কোন শর্ত প্রযোজ্য হতে পারে?,তৎকর্তৃক নির্ধারিত শর্তসাপেক্ষে
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, একাডেমি কী করবে?",একাডেমি প্রতি অর্থ বৎসরের সম্ভাব্য আয় ও ব্যয় এবং সরকারের কাছ থেকে প্রয়োজনীয় অর্থের পরিমাণ উল্লেখ করে একটি বাজেট সরকারের অনুমোদনের জন্য পেশ করবে।
সরকারের অনুমোদিত বাজেটের অর্থ কোথায় স্থানান্তর করা যাবে না?,সরকারের পূর্বানুমোদন ব্যতীত সরকার কর্তৃক অনুমোদিত বাজেটের অর্থ এক খাত হইতে অন্য খাতে স্থানান্তর করা যাবে না।
"বাংলা একাডেমি আইন, ২০১৩-এর এই বিধানের উদ্দেশ্য কী?",এই বিধানের উদ্দেশ্য হল একাডেমির আর্থিক ব্যবস্থাপনায় স্বচ্ছতা ও জবাবদিহিতা নিশ্চিত করা। এটি নিশ্চিত করে যে একাডেমি তার বাজেটের মধ্যে কাজ করবে এবং সরকারের অনুমোদন ছাড়া অর্থ স্থানান্তর করতে পারবে না।
বাংলা একাডেমির হিসাবরক্ষণ ও নিরীক্ষা কে করবে?,বাংলা একাডেমির হিসাবরক্ষণ সরকার কর্তৃক নির্ধারিত পদ্ধতিতে একাডেমি করবে এবং হিসাব নিরীক্ষা বাংলাদেশের মহা-হিসাব নিরীক্ষক ও নিয়ন্ত্রক করবেন।
হিসাব নিরীক্ষার উদ্দেশ্যে কারা একাডেমির রেকর্ড ও সম্পত্তি পরীক্ষা করতে পারে?,"বাংলাদেশের মহা-হিসাব নিরীক্ষক ও নিয়ন্ত্রক, তাঁর ক্ষমতাপ্রাপ্ত ব্যক্তি বা নিযুক্ত চার্টার্ড একাউনটেন্ট একাডেমির রেকর্ড, দলিল-দস্তাবেজ, নগদ বা ব্যাংকে গচ্ছিত অর্থ, জামানত ভাণ্ডার এবং অন্যবিধ সম্পত্তি পরীক্ষা করতে পারেন।"
বাংলা একাডেমির হিসাব নিরীক্ষা করার জন্য চার্টার্ড একাউনটেন্ট কে নিয়োগ করতে পারে?,"বাংলা একাডেমি Bangladesh Chartered Accountants Order, 1973 এর সংজ্ঞা অনুযায়ী এক বা একাধিক চার্টার্ড একাউনটেন্ট নিয়োগ করতে পারে।"
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, মহাপরিচালক কত দিনের মধ্যে বাৎসরিক প্রতিবেদন প্রস্তুত করবেন?",প্রত্যেক অর্থ বৎসর সমাপ্তির ৯০ (নব্বই) দিনের মধ্যে।
বাৎসরিক প্রতিবেদন কার কাছে উপস্থাপন করা হবে?,নির্বাহী পরিষদের নিকট।
সরকার কখন একাডেমির কাছ থেকে প্রতিবেদন বা বিবরণী আহবান করতে পারে?,প্রয়োজনে যে কোনো সময়ে।
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, কারা তদন্ত কমিটি গঠন করতে পারে?",সরকার
তদন্ত কমিটিকে কত সময়ের মধ্যে তাদের প্রতিবেদন জমা দিতে হবে?,সরকার কর্তৃক নির্ধারিত সময়ের মধ্যে
তদন্ত প্রতিবেদন বিবেচনা করার পর সরকার কী করতে পারে?,"প্রয়োজনবোধে, একাডেমিকে যথাযথ ব্যবস্থা গ্রহণের নির্দেশ প্রদান করতে পারে"
